SITE_ID,YEAR,tsi_crust,tsi_rot,LAT_DD83,LON_DD83,ELEVATION,COLOR,NTL,PTL,CHLA,secchi,ts_group,ts
NLA17_AZ-10035,2017,56.37736576080065,49.82093545620336,33.5115,-111.9076,383,5,0.725,39.90375,10.56,1.225,ncp_ts,eutro
NLA17_AZ-10035,2017,56.37736576080065,49.82093545620336,33.5115,-111.9076,383,5,0.725,39.90375,10.56,1.225,chla_ts,eutro
NLA17_AZ-10035,2017,56.37736576080065,49.82093545620336,33.5115,-111.9076,383,5,0.725,39.90375,10.56,1.225,ptl_ts,eutro
NLA17_AZ-10035,2017,56.37736576080065,49.82093545620336,33.5115,-111.9076,383,5,0.725,39.90375,10.56,1.225,sdd_ts,eutro
NLA17_AZ-10035,2017,56.37736576080065,49.82093545620336,33.5115,-111.9076,383,5,0.725,39.90375,10.56,1.225,rot_ts,meso-eutro
NLA17_AZ-10035,2017,56.37736576080065,49.82093545620336,33.5115,-111.9076,383,5,0.725,39.90375,10.56,1.225,crs_ts,eutro
NLA17_AZ-10041,2017,53.432837202886795,50.826335724717765,32.8183,-114.4632,47,10,0.549,39.3925,7.86,0.45,ncp_ts,eutro
NLA17_AZ-10041,2017,53.432837202886795,50.826335724717765,32.8183,-114.4632,47,10,0.549,39.3925,7.86,0.45,chla_ts,eutro
NLA17_AZ-10041,2017,53.432837202886795,50.826335724717765,32.8183,-114.4632,47,10,0.549,39.3925,7.86,0.45,ptl_ts,eutro
NLA17_AZ-10041,2017,53.432837202886795,50.826335724717765,32.8183,-114.4632,47,10,0.549,39.3925,7.86,0.45,sdd_ts,hypereu
NLA17_AZ-10041,2017,53.432837202886795,50.826335724717765,32.8183,-114.4632,47,10,0.549,39.3925,7.86,0.45,rot_ts,meso-eutro
NLA17_AZ-10041,2017,53.432837202886795,50.826335724717765,32.8183,-114.4632,47,10,0.549,39.3925,7.86,0.45,crs_ts,meso-eutro
NLA17_AZ-10090,2017,61.47149173470389,54.042698788783,34.40442,-111.0025,2304,24,0.284,13.795,4.78,3.05,ncp_ts,dys
NLA17_AZ-10090,2017,61.47149173470389,54.042698788783,34.40442,-111.0025,2304,24,0.284,13.795,4.78,3.05,chla_ts,meso
NLA17_AZ-10090,2017,61.47149173470389,54.042698788783,34.40442,-111.0025,2304,24,0.284,13.795,4.78,3.05,ptl_ts,meso
NLA17_AZ-10090,2017,61.47149173470389,54.042698788783,34.40442,-111.0025,2304,24,0.284,13.795,4.78,3.05,sdd_ts,meso
